Designator,Mid X,Mid Y,Rotation,Layer
R13,91.2855,-105.072,-90.0,top
C29,122.8735,-127.07,-90.0,top
C31,136.3735,-124.62,-90.0,top
C32,149.8575,-125.21,0.0,top
C33,142.441,-120.765,0.0,top
C34,149.1985,-129.845,0.0,top
R29,149.1985,-128.345,180.0,top
R7,130.871,-89.802,-90.0,top
R42,199.3225,-87.607,-90.0,top
R28,145.3735,-129.02,-90.0,top
C35,154.8735,-129.07,-90.0,top
C36,157.795,-129.07,-90.0,top
C37,165.4785,-120.1935,0.0,top
C13,137.3285,-90.002,90.0,top
C14,137.3285,-93.227,-90.0,top
C15,85.2855,-105.072,-90.0,top
SW1,132.7405,-72.829,0.0,top
U4,120.24,-79.2795,0.0,top
C6,142.047,-102.604,180.0,top
C38,169.225,-97.3465,-90.0,top
C41,175.1305,-97.3045,-90.0,top
R11,88.2855,-105.072,-90.0,top
R12,92.2625,-108.7,180.0,top
R10,133.157,-92.5995,180.0,top
R25,129.93,-80.3155,180.0,top
R26,122.8735,-124.02,-90.0,top
Y1,153.6675,-109.335,0.0,top
SW2,121.7405,-72.829,0.0,top
D2,142.005,-92.317,180.0,top
R8,130.871,-93.7775,90.0,top
R9,133.157,-90.9835,180.0,top
R35,166.225,-97.3465,-90.0,top
R4,164.5895,-108.446,90.0,top
R30,187.7655,-105.831,0.0,top
L1,126.7735,-120.345,0.0,top
R1,156.525,-72.4415,-90.0,top
D3,126.195,-79.2795,180.0,top
D4,113.3735,-123.345,-90.0,top
D5,120.8735,-120.345,180.0,top
D6,148.397,-120.4475,90.0,top
FB1,161.4145,-108.446,-90.0,top
R45,172.1305,-97.3045,-90.0,top
R27,139.4735,-129.02,-90.0,top
R6,142.025,-90.6025,180.0,top
R2,139.507,-80.8235,-90.0,top
U6,164.723,-126.127,-90.0,top
U5,142.4435,-124.595,0.0,top
R18,163.9545,-73.14,-90.0,top
C17,207.514,-99.7985,0.0,top
R16,202.9275,-101.8305,0.0,top
R17,207.5145,-101.8305,0.0,top
U7,174.9115,-115.7465,90.0,top
R41,174.4115,-107.7465,180.0,top
C39,179.4115,-121.4215,-90.0,top
C40,179.7365,-117.2465,180.0,top
R43,171.4115,-121.4215,90.0,top
R34,179.7365,-114.2465,180.0,top
R38,171.4115,-110.0715,90.0,top
R36,181.4115,-121.4215,90.0,top
R37,177.4115,-121.4215,-90.0,top
R33,176.9115,-110.0715,90.0,top
R31,175.4115,-121.4215,-90.0,top
R32,183.4115,-121.4215,-90.0,top
R39,178.9115,-110.0715,90.0,top
R40,173.4115,-121.4215,-90.0,top
R44,174.4115,-110.7465,180.0,top
L2,154.905,-121.3995,180.0,top
C2,155.1915,-112.256,0.0,top
C7,147.762,-108.319,-90.0,top
C4,159.5095,-108.319,-90.0,top
C8,149.4765,-108.319,-90.0,top
C9,165.669,-101.2705,0.0,top
C11,147.508,-85.2685,90.0,top
C12,142.047,-104.255,180.0,top
C3,156.525,-75.9975,90.0,top
C5,157.9855,-108.319,-90.0,top
C28,114.488,-79.1725,90.0,top
C1,152.08,-112.256,180.0,top
R5,142.025,-87.5995,180.0,top
D1,142.005,-85.7495,180.0,top
R3,161.5415,-86.602,180.0,top
C10,164.526,-87.9355,90.0,top
U2,167.5105,-80.1885,0.0,top
R54,118.679,-96.5715,90.0,top
J5,179.5268,-87.5076,0.0,top
D9,118.933,-107.8745,180.0,top
U9,175.1584,-91.5162,180.0,top
R23,127.061,-114.6055,90.0,top
C21,130.109,-114.6055,90.0,top
R24,128.585,-114.6055,90.0,top
R47,118.679,-88.4435,90.0,top
D8,112.456,-106.6045,0.0,top
C25,111.567,-111.8115,180.0,top
Q3,115.631,-96.5715,0.0,top
C23,111.567,-108.7635,180.0,top
Q4,115.631,-101.1435,0.0,top
R51,133.411,-114.6055,90.0,top
R57,118.679,-101.1435,-90.0,top
D11,175.4886,-86.106,-90.0,top
R56,120.203,-101.1435,-90.0,top
U1,153.731,-96.3175,90.0,top
R22,111.567,-114.8595,180.0,top
R53,112.583,-93.0155,-90.0,top
D7,112.456,-104.1915,180.0,top
U3,129.093,-104.1915,180.0,top
R49,120.203,-93.0155,90.0,top
C20,111.567,-116.3835,180.0,top
R55,120.203,-96.5715,-90.0,top
R20,91.247,-86.4115,-90.0,top
R50,118.679,-93.0155,-90.0,top
R21,111.567,-113.3355,0.0,top
C24,111.567,-110.2875,180.0,top
R59,112.583,-101.1435,-90.0,top
R52,112.583,-89.9495,-90.0,top
C18,127.975,-90.9835,0.0,top
R48,120.203,-88.4435,90.0,top
C22,131.887,-114.6055,90.0,top
R19,89.215,-95.5555,-90.0,top
Q1,115.631,-88.4435,0.0,top
C16,182.372,-96.7994,90.0,top
R14,182.372,-99.4664,-90.0,top
Q2,115.631,-93.0155,0.0,top
R46,134.935,-114.6055,90.0,top
U8,120.203,-114.3515,180.0,top
Y2,126.375,-93.9835,180.0,top
D10,118.933,-110.2875,0.0,top
C19,124.775,-90.9835,180.0,top
R58,112.583,-98.0955,-90.0,top
C30,130.8735,-124.845,-90.0,bottom
J3,99.883,-100.2545,-90.0,bottom
J4,195.323,-99.8095,90.0,bottom
J1,144.2405,-72.829,0.0,bottom
TP6,170.241,-90.9835,0.0,bottom
TP3,153.731,-83.8715,180.0,bottom
TP4,172.019,-87.6815,0.0,bottom
TP7,166.685,-90.9835,0.0,bottom
TP2,157.287,-83.8715,180.0,bottom
TP1,160.843,-83.8715,180.0,bottom
TP5,168.463,-87.6815,0.0,bottom
